,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Soil_Type1,Soil_Type2,Soil_Type3,Soil_Type4,Soil_Type5,Soil_Type6,Soil_Type7,Soil_Type8,Soil_Type9,Soil_Type10,Soil_Type11,Soil_Type12,Soil_Type13,Soil_Type14,Soil_Type15,Soil_Type16,Soil_Type17,Soil_Type18,Soil_Type19,Soil_Type20,Soil_Type21,Soil_Type22,Soil_Type23,Soil_Type24,Soil_Type25,Soil_Type26,Soil_Type27,Soil_Type28,Soil_Type29,Soil_Type30,Soil_Type31,Soil_Type32,Soil_Type33,Soil_Type34,Soil_Type35,Soil_Type36,Soil_Type37,Soil_Type38,Soil_Type39,Soil_Type40,Forest_Cover,Neota,Rawah,Comanche Peak,Cache la Poudre
16,,,13.0,390.0,47.0,4736.0,,240.0,134.0,17774.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,Lodgepole Pine,0,1,0,0
17,2781.0,336.0,22.0,256.0,65.0,1731.0,,-27.0,,1087.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,Aspen,0,0,1,0
18,2502.0,,18.0,309.0,59.0,234.0,170.0,222.0,191.0,17774.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,1,0,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,Ponderosa Pine,0,0,0,1
19,2602.0,,108.0,272.0,84.0,,203.0,206.0,,524.0,0.0,,,0.0,0.0,0.0,0,0,0,0,0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,0.0,0.0,,Lodgepole Pine,0,0,1,0
20,3171.0,123.0,16.0,175.0,45.0,3108.0,,226.0,103.0,3648.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,,,Spruce/Fir,0,1,0,0
21,,215.0,27.0,134.0,50.0,2341.0,182.0,253.0,194.0,2014.0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,1.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,Lodgepole Pine,0,0,1,0
22,2738.0,,17.0,42.0,15.0,2451.0,245.0,228.0,105.0,6576.0,0.0,0.0,0.0,,0.0,,0,0,0,0,0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,Lodgepole Pine,0,1,0,0
23,3011.0,,6.0,42.0,5.0,3242.0,,,145.0,1159.0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,Spruce/Fir,0,0,1,0
24,2508.0,,20.0,170.0,54.0,725.0,164.0,-27.0,,497.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,1,0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,Douglas-fir,0,0,1,0
25,3213.0,,17.0,641.0,128.0,3122.0,217.0,,113.0,,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,Spruce/Fir,0,0,1,0
26,2937.0,,15.0,,-7.0,745.0,231.0,-27.0,669.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0.0,,0.0,0.0,,,,,,,0.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,Spruce/Fir,0,0,1,0
27,3019.0,311.0,10.0,108.0,-4.0,2131.0,193.0,233.0,,779.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,,,0.0,,,,,0.0,,0.0,Lodgepole Pine,0,0,1,0
28,3238.0,-1961.0,16.0,330.0,100.0,1772.0,246.0,477.0,96.0,17774.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,0.0,1.0,0.0,Spruce/Fir,0,1,0,0
29,3067.0,51.0,,0.0,0.0,6673.0,,218.0,,2936.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,0,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,Lodgepole Pine,0,1,0,0
30,3206.0,82.0,10.0,,66.0,685.0,234.0,222.0,119.0,2527.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,Spruce/Fir,0,1,0,0
31,2997.0,,23.0,424.0,156.0,1092.0,194.0,254.0,186.0,417.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,Lodgepole Pine,0,0,1,0
32,2569.0,100.0,20.0,192.0,50.0,366.0,249.0,208.0,,2308.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.0,,Lodgepole Pine,0,1,0,0
33,,68.0,33.0,153.0,46.0,201.0,232.0,156.0,29.0,552.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,Ponderosa Pine,0,0,0,1
34,-730.0,86.0,10.0,218.0,23.0,4176.0,,,119.0,2465.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,,Spruce/Fir,0,1,0,0
35,,324.0,6.0,339.0,63.0,25383.0,,233.0,168.0,1113.0,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,0.0,0.0,Lodgepole Pine,0,0,1,0
36,2822.0,16.0,8.0,108.0,,1871.0,213.0,223.0,146.0,,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Lodgepole Pine,0,1,0,0
37,3064.0,58.0,10.0,170.0,30.0,6756.0,228.0,218.0,123.0,3097.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,Lodgepole Pine,0,1,0,0
38,,78.0,14.0,120.0,26.0,,237.0,214.0,105.0,4241.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0,,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,Lodgepole Pine,0,1,0,0
39,3139.0,,12.0,361.0,32.0,5664.0,,214.0,122.0,900.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,Spruce/Fir,0,1,0,0
40,2923.0,58.0,20.0,60.0,,1838.0,230.0,194.0,88.0,2318.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,,1.0,0.0,0.0,,0.0,,0.0,0.0,,Lodgepole Pine,0,0,1,0
41,3357.0,337.0,-81.0,459.0,67.0,-20985.0,,229.0,,1599.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,1.0,,Spruce/Fir,0,1,0,0
42,3217.0,0.0,10.0,30.0,6.0,3426.0,,221.0,153.0,2391.0,,0.0,0.0,0.0,0.0,,0,0,0,0,0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,,1.0,,0.0,0.0,,,0.0,,,,Spruce/Fir,0,0,1,0
43,3072.0,,24.0,577.0,261.0,1663.0,182.0,254.0,200.0,474.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,1.0,0.0,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,Lodgepole Pine,0,0,1,0
44,,177.0,25.0,216.0,64.0,3301.0,223.0,245.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,Lodgepole Pine,0,0,1,0
45,3017.0,13.0,9.0,60.0,-613.0,,211.0,221.0,146.0,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,Spruce/Fir,0,1,0,0
46,2775.0,27.0,26.0,277.0,135.0,1123.0,200.0,176.0,,997.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,Lodgepole Pine,0,0,1,0
47,2945.0,,4.0,0.0,0.0,5758.0,221.0,,146.0,3602.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,Lodgepole Pine,0,1,0,0
48,3422.0,,19.0,408.0,177.0,977.0,,199.0,669.0,,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Krummholz,1,0,0,0
49,2692.0,,3.0,589.0,,981.0,220.0,233.0,150.0,1415.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,,,,0.0,0.0,Lodgepole Pine,0,1,0,0
50,3171.0,,11.0,,,3236.0,,219.0,153.0,,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,Spruce/Fir,0,0,1,0
51,2843.0,67.0,18.0,120.0,38.0,150.0,,,91.0,1179.0,0.0,,,0.0,,0.0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,,,0.0,,,,1.0,,,0.0,,,0.0,,0.0,,0.0,,Lodgepole Pine,0,1,0,0
52,2605.0,,12.0,85.0,1.0,1978.0,219.0,212.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,Douglas-fir,0,0,1,0
53,3015.0,350.0,12.0,120.0,16.0,2845.0,198.0,220.0,160.0,1650.0,,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,1.0,,0.0,0.0,,,0.0,0.0,0.0,Lodgepole Pine,0,0,1,0
54,3373.0,-1961.0,22.0,470.0,25.0,25383.0,,,,1020.0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,Spruce/Fir,1,0,0,0
55,3020.0,,27.0,330.0,17.0,3314.0,149.0,,180.0,1401.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,,0.0,1.0,0.0,Spruce/Fir,0,0,1,0
56,3408.0,335.0,12.0,845.0,69.0,1410.0,193.0,224.0,170.0,1648.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,,,,,0.0,,0.0,,Krummholz,0,0,1,0
57,2607.0,7.0,15.0,182.0,55.0,947.0,200.0,208.0,143.0,612.0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,Lodgepole Pine,0,1,0,0
58,2933.0,108.0,14.0,42.0,10.0,3740.0,243.0,223.0,,,0.0,0.0,,,0.0,0.0,0,0,0,0,0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,,,0.0,0.0,0.0,,,0.0,Lodgepole Pine,0,1,0,0
59,,256.0,108.0,150.0,75.0,1891.0,123.0,237.0,239.0,1153.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0,0.0,1.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,Lodgepole Pine,0,0,1,0
60,,108.0,11.0,404.0,-1.0,283.0,239.0,227.0,,1434.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,Lodgepole Pine,0,0,1,0
61,3060.0,58.0,28.0,382.0,152.0,2355.0,,169.0,,2010.0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,Spruce/Fir,0,0,1,0
62,3177.0,349.0,-81.0,424.0,91.0,3158.0,,215.0,161.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,Spruce/Fir,0,0,1,0
63,2963.0,309.0,10.0,,48.0,2903.0,193.0,234.0,181.0,1515.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,Lodgepole Pine,0,0,1,0
64,2547.0,,,,16.0,780.0,239.0,237.0,122.0,212.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,Lodgepole Pine,0,1,0,0
65,2999.0,20.0,-81.0,0.0,,2881.0,,228.0,149.0,1594.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,Lodgepole Pine,0,1,0,0
66,2812.0,104.0,22.0,553.0,183.0,2620.0,251.0,206.0,72.0,1959.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,1,0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,Ponderosa Pine,0,0,1,0
67,3037.0,235.0,15.0,,61.0,6045.0,192.0,252.0,195.0,1698.0,0.0,0.0,0.0,,0.0,,0,0,0,0,0,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,Lodgepole Pine,0,1,0,0
68,2963.0,137.0,8.0,90.0,-2.0,,233.0,,136.0,2118.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,Lodgepole Pine,0,1,0,0
69,3341.0,358.0,19.0,510.0,100.0,1032.0,187.0,202.0,149.0,646.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,Spruce/Fir,0,1,0,0
70,2865.0,163.0,,977.0,87.0,2402.0,,243.0,,1501.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,1.0,0.0,,,,0.0,0.0,Aspen,0,0,1,0
71,3238.0,71.0,16.0,330.0,73.0,3302.0,236.0,206.0,96.0,2139.0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,Spruce/Fir,0,0,1,0
72,3322.0,272.0,22.0,1062.0,210.0,3714.0,,240.0,220.0,2420.0,,0.0,0.0,,0.0,,0,0,0,0,0,,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,0.0,1.0,,0.0,,,0.0,,0.0,0.0,,0.0,,,0.0,Lodgepole Pine,0,0,1,0
73,2518.0,39.0,18.0,255.0,90.0,1052.0,218.0,197.0,108.0,1072.0,,0.0,0.0,1.0,,0.0,0,0,0,0,0,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,Ponderosa Pine,0,0,1,0
74,2955.0,2.0,7.0,0.0,0.0,1126.0,210.0,,154.0,2206.0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,1.0,,,0.0,0.0,,0.0,0.0,,Spruce/Fir,0,0,1,0
75,2468.0,225.0,15.0,0.0,689.0,860.0,198.0,253.0,189.0,830.0,0.0,0.0,,1.0,0.0,,0,0,0,0,0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,Ponderosa Pine,0,0,1,0
76,2721.0,166.0,15.0,30.0,4.0,1481.0,,244.0,140.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,Lodgepole Pine,0,1,0,0
